#HASH|VERSION|COMMENTS
85a3eba217fd9f0a8d95d5df36e250acae664aa796bd1970dd6da4181f6be3e3|0.12.2|Official version from modrinth
cb6bcd1fab38f03d05ffc9d22c8e1d4ceabadf8ba6e41c2a2aafc7fbb412c55a|0.12.2 DEV|Official version from modrinth
ca0ee00a789a33a8d825854001a40be8ce0dad9171230eec7d557746ceab9a80|0.12.1|Official version from modrinth
4e100acf6780a6b5a8442bff52e92182518f1055b6532b2c7908ec44234f808f|0.12.1 DEV|Official version from modrinth
a6a80abb67f39e1a8b83c93149964111ad78a046e32c4a05a8a3c61c6379f13c|0.12.1|Official version from modrinth
2efa0a9f10918aa536b09ce3f8341942d750d1e8a09b970517f8f89e8bbfb296|0.12.1 DEV|Official version from modrinth
456c59d31fbbf681557e32d15e178bec4211d7c9055b53f4d937166672438ba7|0.12|Official version from modrinth
6cdd52047ab53f65bcf37f9bd74f759ba33af7843fd50334d2d526226bca1548|0.12 DEV|Official version from modrinth
6ef263de0dc19610169290391d0fef184ebb50233bfff4fc1bc6ebb421a6a1bc|0.11.2|Official version from modrinth
ad2ace19a97647f16beb538d87e65ae0933e0926a60876842889fe19b0e0e266|0.11.2 DEV|Official version from modrinth
b798d6adeb5593d466b6aa5bd3fd14ed4159c9516189137bb47edec5842b13c1|0.11.1|Official version from modrinth
571658317058c047cb4d35a3c6c852479f2f1bfe1906ca024735058772a8f2a6|0.11.1 DEV|Official version from modrinth
a43c207d2cf434c4162d5d9e6f69434f699bb96b94acf65dd303a1cb0e55d95e|0.11|Official version from modrinth
57be6210f75633c0ed41e997811c48e9772590f6f26150a0c8ea241ad060e287|0.11 DEV|Official version from modrinth
7d7cf55abded4d7732166f619e0bc0508b6611ec3d562292acf528b96560d2bf|0.10|Official version from modrinth
64d117d6d518f395d88644721a16f63c2578464341281b59fb394e07af3c4d13|0.10 DEV|Official version from modrinth
994b9778a25832ddc88e39605d25037895bd8950b0288e09e6051255a7bd6420|0.9.98-215|Official version from modrinth
c1e4b3fcd8f340600d2d9a6cdd7a7cdb60a7cc5ce6b331ecee9b0f688c0b4479|0.9.98-215 DEV|Official version from modrinth
994b9778a25832ddc88e39605d25037895bd8950b0288e09e6051255a7bd6420|0.9.98-rc215|Official version from modrinth
09c203a2cd9d4dbd7b565804a52302085bfad3c23ded81aa7a53832bae4fd3a1|0.9.98-rc215 DEV|Official version from modrinth
994b9778a25832ddc88e39605d25037895bd8950b0288e09e6051255a7bd6420|0.9.98|Official version from modrinth
32bc6e4ba3fb4b947eccd16519ccad27fc9ba7c532bd741cd080bae5291c57d2|0.9.98 DEV|Official version from modrinth
994b9778a25832ddc88e39605d25037895bd8950b0288e09e6051255a7bd6420|0.9.98-pre|Official version from modrinth
76328dcee28e683b15cfae760feacbdffdbd6cbdb6a7d702ad1bc50c9e3c591e|0.9.98-pre DEV|Official version from modrinth
817a37566743758235778cf3b001d866533c46e5a1a636ee619de86f476d804b|0.9.97|Official version from modrinth
f71dbccae8f445d8d6488e37f22237fa5b60ff528b2e42544ba8052b31123ce9|0.9.97 DEV|Official version from modrinth
13f7dfc8ab9d972eee5a376431275fe77dcf8c75ac9ad04801cf29f6b4287627|0.9.96|Official version from modrinth
b94bd1529a777e199075161632cff8f77b84b8428a2d6477aebc7d36f59e6b84|0.9.96 DEV|Official version from modrinth
13f7dfc8ab9d972eee5a376431275fe77dcf8c75ac9ad04801cf29f6b4287627|0.9.96-pre|Official version from modrinth
843ba402619cbd6fa15ed6646db3cbb03aa10d0e95cef9f6349f590d89cf5b4a|0.9.96-pre DEV|Official version from modrinth
60cdd31dcd497d90661ecac5f8ac93b0818eda12fb35fada4e0021b5fc3fde66|0.9.95|Official version from modrinth
9917267ecd72bde9c3126e8db9d680fc94cf659c7c47c532115856e2440196d0|0.9.95 DEV|Official version from modrinth
60cdd31dcd497d90661ecac5f8ac93b0818eda12fb35fada4e0021b5fc3fde66|0.9.95-pre|Official version from modrinth
